timestamp,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,bb_high,bb_low
2024-12-26 05:00:00,98213.26,98375.22,98000.0,98279.53,154.37463658,47.66618834491203,162.44075864955084,248.16805192965245,-85.7272932801016,99307.44595034384,97863.82004965616
2024-12-26 06:00:00,98275.64,98397.15,97920.14,98014.68,91.80949941,44.27672120057442,102.3142995248927,218.9973014487005,-116.68300192380781,99326.5612446901,97806.94575530988
2024-12-26 07:00:00,98014.31,98199.4,97617.4,97667.54,291.13760088,40.23797565088699,26.348620159129496,180.4675651907863,-154.1189450316568,99351.78838738243,97765.98861261757
2024-12-26 08:00:00,97661.63,97711.28,95534.19,95801.75,877.56769272,26.33417479265134,-182.30686789278116,107.91267857407281,-290.21954646685396,99877.20078445593,97011.06221554405
2024-12-26 09:00:00,95792.14,95893.85,95294.95,95322.93,423.75131926,24.03855491653006,-381.90228596315137,9.949685666627985,-391.85197162977937,100268.05695097215,96314.44204902786
2024-12-26 10:00:00,95330.6,95676.99,95083.93,95403.56,229.90786255,25.2206998350795,-527.4962769190024,-97.5395068504981,-429.9567700685043,100463.65009162447,95795.69690837554
2024-12-26 11:00:00,95393.55,95928.93,95346.63,95585.78,276.5803676,27.949662456926447,-621.018221093298,-202.2352496990581,-418.78297139423995,100563.81931325547,95409.9216867445
2024-12-26 12:00:00,95585.77,95778.68,95342.01,95574.66,229.31677714,27.882790220075094,-688.1003343797929,-299.4082666352051,-388.6920677445878,100625.55920734617,95073.44979265385
2024-12-26 13:00:00,95572.27,95670.67,95161.71,95598.63,327.68416754,28.281127238360114,-730.903809639829,-385.7073752361299,-345.1964344036991,100632.09620773357,94780.12679226643
2024-12-26 14:00:00,95598.63,96193.79,95123.0,95366.71,668.80866383,26.742047032818945,-774.6106485513446,-463.48802989917283,-311.1226186521718,100602.3463889317,94481.0256110683
2024-12-26 15:00:00,95366.7,96129.71,95138.45,95962.27,771.36402101,36.325117687481985,-752.5173668033822,-521.2938972800148,-231.22346952336738,100459.82541434278,94327.92558565721
2024-12-26 16:00:00,95962.27,96560.27,95707.89,96444.26,693.0662859,42.84178781139638,-688.1827743592148,-554.6716726958548,-133.51110166336002,100256.124320289,94270.19767971098
2024-12-26 17:00:00,96444.26,96485.42,95597.06,95731.07,542.98853083,36.83466856078571,-686.8282899729384,-581.1029961512716,-105.72529382166681,100141.15173012683,94114.74826987316
2024-12-26 18:00:00,95731.08,95910.64,95388.0,95662.18,464.31401449,36.305124356343256,-683.4354798130516,-601.5694928836276,-81.86598692942403,99959.19270957148,93990.56429042853
2024-12-26 19:00:00,95663.48,96174.8,95345.0,96023.62,637.66727593,41.09029075340685,-644.1560361856391,-610.08680154403,-34.069234641609114,99610.88756253326,94006.60343746675
