timestamp,open,high,low,close,volume,symbol,rsi,macd,macd_signal,macd_diff,bb_high,bb_low,sentiment
2024-12-18 01:00:00,1.0525,1.061,1.0361,1.0399,2010346.40920743,ADA/USD,31.392958898339046,-0.010302708438542307,-0.006249087545183432,-0.0040536208933588756,1.1127023917414407,1.0387476082585594,0.0
2024-12-18 02:00:00,1.0396,1.0556,1.0358,1.0498,1638962.53745704,ADA/USD,37.79737913253415,-0.010740406570743044,-0.007147351350295355,-0.003593055220447689,1.113364082374989,1.0368359176250108,0.0
2024-12-18 03:00:00,1.05,1.0524,1.0364,1.0365,1974228.5196624,ADA/USD,33.30002742170427,-0.012021903323085725,-0.00812226174485343,-0.003899641578232296,1.1152838943497096,1.0325961056502901,0.0
2024-12-18 04:00:00,1.0368,1.0384,1.0155,1.025,3587920.23831202,ADA/USD,29.97851304875077,-0.013806302165256357,-0.009259069828934015,-0.0045472323363223415,1.1182599054169284,1.0252200945830718,0.0
2024-12-18 05:00:00,1.0252,1.0325,1.0193,1.0239,1993782.33719413,ADA/USD,29.67362411315331,-0.015134747957096462,-0.010434205454566504,-0.004700542502529957,1.1184531317701494,1.0183468682298507,0.0
2024-12-18 06:00:00,1.024,1.0303,1.0138,1.0208,1424482.71561541,ADA/USD,28.785132165412634,-0.016250370751762055,-0.011597438514005616,-0.00465293223775644,1.1170932401992664,1.0121967598007338,0.0
2024-12-18 07:00:00,1.0211,1.0274,1.0178,1.023,929802.32902247,ADA/USD,30.37834185131871,-0.016763746209101038,-0.0126307000530247,-0.004133046156076337,1.113988482650886,1.007801517349114,0.0
2024-12-18 08:00:00,1.023,1.0271,1.0169,1.0242,1506921.77206608,ADA/USD,31.28140841743796,-0.016879197109191724,-0.013480399464258105,-0.003398797644933619,1.107187107614861,1.0061228923851389,0.0
2024-12-18 09:00:00,1.0245,1.042,1.0235,1.0377,1354461.86346695,ADA/USD,40.61389638940615,-0.01570037149405845,-0.013924393870218175,-0.001775977623840276,1.1005093188541502,1.00655068114585,0.0
2024-12-18 10:00:00,1.0377,1.0418,1.0327,1.04,799491.15773341,ADA/USD,42.05766609361571,-0.014414392775716767,-0.014022393651317895,-0.0003919991243988719,1.0942440683916628,1.0074059316083375,0.0
